"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0022613","ribonucleoprotein complex biogenesis",482,0.711514288669774,2.55582245313358,1e-10,1.01872925489091e-08,7.98850875856912e-09,3876,"tags=51%, list=16%, signal=44%","56902/705/25879/27340/79084/55003/8894/9816/9669/51602/55759/84128/10799/1736/29081/9188/26747/23160/84916/55299/9277/23560/1662/9221/11171/8607/4839/84154/9875/55226/55319/10885/153443/10813/545/3326/4869/23450/5591/51001/51068/9136/55646/11340/401466/57819/5901/8886/65083/285855/27161/10480/23246/2971/64794/8568/54606/96764/83732/6635/23212/56915/55035/6636/5036/10171/84135/29889/25929/23404/51388/84946/6227/51096/22894/28987/8662/55661/255308/1660/27292/6631/10199/51202/100101490/6633/115416/51010/79050/11056/79954/1968/22803/6637/8669/51504/22984/51018/6201/8602/7520/11224/3646/10528/28985/26574/54663/10969/6632/27042/8451/57647/55127/6839/55651/6606/64434/51042/8667/7514/84881/22868/26164/51154/55006/1207/51106/54475/6628/55027/55720/29960/6129/51118/85865/114049/55695/25980/6165/9790/23076/54680/54512/84549/220064/56342/55341/55813/81887/1964/134430/6155/23481/6732/84294/27339/83743/57696/6130/6895/54433/11137/2091/121053/51634/26155/6223/3320/10514/54552/81875/57418/88745/54955/24148/64216/8450/6629/8575/6627/51406/11218/10360/25926/6426/23378/6209/57109/55153/10772/51631/79039/79833/22889/8666/51639/10713/8996/4686/8175/8562/6233/8668/10419/83939/3692/25804/6169/84864/90459/51575/9045/10856/30836/6206/10728/9129/10248/118460/6838/10200/2068/55636/6210/92856/57602/51121/23020/84844/92345/10607/7919/6191/29777/84769/404672/10946/5303/51340/8663/51187/6152/5393/728689/113000/1029"
"GO:0042254","ribosome biogenesis",312,0.73062400560497,2.5351845853196,1e-10,1.01872925489091e-08,7.98850875856912e-09,3876,"tags=57%, list=16%, signal=49%","56902/705/25879/27340/55003/9816/9669/51602/55759/84128/10799/1736/29081/9188/23160/84916/55299/9277/23560/1662/9221/4839/84154/9875/55226/55319/10885/153443/10813/4869/5591/51001/51068/9136/55646/11340/401466/5901/8886/65083/285855/23246/2971/64794/8568/54606/83732/23212/56915/55035/5036/10171/84135/29889/23404/51388/84946/6227/51096/22894/28987/55661/27292/10199/51202/115416/51010/79050/11056/79954/22803/51504/22984/51018/6201/8602/7520/11224/10528/26574/54663/10969/27042/8451/57647/55127/6839/55651/64434/51042/7514/84881/22868/26164/51154/55006/51106/54475/55027/55720/29960/6129/51118/85865/114049/55695/6165/9790/23076/54680/54512/84549/220064/56342/55341/55813/81887/1964/134430/6155/23481/84294/83743/57696/6130/54433/11137/2091/26155/6223/10514/54552/81875/57418/88745/54955/64216/8450/51406/10360/25926/23378/6209/57109/55153/79039/6233/83939/3692/6169/84864/90459/51575/9045/30836/6206/10248/118460/6838/10200/2068/55636/6210/92856/57602/51121/92345/10607/6191/29777/84769/404672/5303/51187/6152/5393/113000/1029"
"GO:0016072","rRNA metabolic process",267,0.718936783673778,2.47330611954881,1e-10,1.01872925489091e-08,7.98850875856912e-09,3718,"tags=54%, list=15%, signal=47%","84365/705/25879/27340/55003/51602/55759/84128/10799/1736/29081/9188/23160/84916/55299/6949/9277/23560/1662/9221/4839/84154/9875/55226/10885/153443/10813/5591/221830/25885/9136/55646/11340/8886/65083/285855/23246/2971/8568/84172/54606/83732/4691/23212/56915/55035/5036/10171/84135/23404/6227/51096/22894/28987/55661/27292/10199/51202/51010/10849/79050/11056/79954/4609/22803/51504/22984/51018/6201/8602/11224/10528/54663/10969/27042/57647/55127/6839/55651/84881/9329/51154/55006/51106/55720/9330/29960/6129/51118/114049/51082/55695/64425/6165/6597/9790/23076/54680/54512/84549/56342/55813/81887/134430/6155/23481/1663/84294/57696/6130/54433/11137/2091/9014/6223/4141/57418/88745/64216/51406/10360/25926/53918/23378/6209/57109/79039/7150/3692/90459/51575/9045/10248/118460/10200/2068/55636/92856/57602/92345/10607/29777/404672/64768/5303"
"GO:0006364","rRNA processing",220,0.722174544719237,2.44213404256945,1e-10,1.01872925489091e-08,7.98850875856912e-09,3876,"tags=58%, list=16%, signal=50%","705/25879/27340/55003/51602/55759/84128/10799/1736/29081/9188/23160/84916/55299/9277/23560/1662/9221/4839/84154/9875/55226/10885/153443/10813/5591/9136/55646/11340/8886/65083/285855/23246/8568/54606/83732/23212/56915/55035/5036/10171/84135/23404/6227/51096/22894/28987/55661/27292/10199/51202/51010/79050/11056/79954/22803/51504/22984/51018/6201/8602/11224/10528/54663/10969/27042/57647/55127/6839/55651/84881/51154/55006/51106/55720/29960/6129/51118/114049/55695/6165/9790/23076/54680/54512/84549/56342/55813/81887/134430/6155/23481/84294/57696/6130/54433/11137/2091/6223/57418/88745/64216/51406/10360/25926/23378/6209/57109/79039/3692/90459/51575/9045/10248/118460/10200/2068/55636/92856/57602/92345/10607/29777/404672/5303/5393/113000/1029"
"GO:0006261","DNA-templated DNA replication",166,0.724593532968633,2.37713006949734,1e-10,1.01872925489091e-08,7.98850875856912e-09,3920,"tags=53%, list=16%, signal=45%","4175/675/1017/5983/6742/55388/144455/64318/990/545/23594/5591/8317/9156/5423/8914/8882/5558/9837/11169/983/55159/5984/4172/672/5422/26271/5425/54107/4683/253714/2237/1763/9134/580/10926/56652/5427/84296/6240/90381/641/54962/79915/898/8318/5001/4171/4796/4176/5557/23649/4173/80174/51750/1663/79733/5111/84515/5982/11073/3978/4361/81620/8099/9093/57418/10721/1602/23595/29980/4998/3980/345643/5965/7158/222229/58525/10293/5888/84083/54108/5985/10498/146956/92667/79892/10111"
"GO:0006260","DNA replication",285,0.679398538262185,2.34853054686074,1e-10,1.01872925489091e-08,7.98850875856912e-09,3920,"tags=47%, list=16%, signal=40%","6282/4175/79075/675/1017/9767/5983/6742/55388/144455/23560/27000/64318/8607/990/79596/545/23594/5591/86/8317/6418/51514/9156/5423/8914/1111/8882/5558/9837/11169/983/55159/5984/10535/4172/672/10973/5422/26271/1660/5425/54107/4683/374393/253714/2237/1763/9134/9401/6749/580/10926/56652/5427/84296/64785/6240/90381/641/993/890/63922/54962/4673/79915/116447/898/8318/5001/8208/4171/6119/4796/4176/5557/23649/4173/9768/27101/2069/7465/80174/51750/1663/79913/4678/79733/5111/84515/83743/5982/11073/51659/3978/4361/81620/8099/9093/92675/57418/10721/1602/246243/23595/84464/29980/4998/10919/7126/3980/345643/5965/7150/7158/157570/222229/11198/64769/58525/10293/10856/5888/4784/84083/10036/54108/5985/10498/146956/51008/92667/79892/9126/10111"
"GO:0042274","ribosomal small subunit biogenesis",105,0.75484829658367,2.33738231681662,1e-10,1.01872925489091e-08,7.98850875856912e-09,3696,"tags=59%, list=15%, signal=50%","56902/705/25879/27340/51602/84128/10799/23160/84916/9277/55226/10885/153443/4869/5591/9136/65083/83732/23212/10171/84135/84946/6227/51096/28987/27292/10199/11056/79954/51504/6201/8602/7520/10528/26574/27042/57647/55127/64434/55720/51118/9790/55813/134430/84294/2091/6223/88745/51406/25926/6209/6233/30836/6206/6838/2068/6210/92856/10607/6191/29777/404672"
"GO:0042273","ribosomal large subunit biogenesis",68,0.79426419210548,2.31369905767511,1e-10,1.01872925489091e-08,7.98850875856912e-09,3801,"tags=68%, list=15%, signal=57%","55003/55759/55299/23560/4839/84154/9875/55319/4869/8886/285855/23246/2971/23212/51388/115416/51504/51018/11224/54663/10969/22868/26164/51154/54475/55027/29960/6129/6165/54680/84549/220064/56342/81887/23481/57696/6130/26155/54955/55153/3692/9045/6838/51121/51187/6152"
"GO:0006403","RNA localization",203,0.688591014060205,2.31278695090371,1e-10,1.01872925489091e-08,7.98850875856912e-09,4036,"tags=51%, list=16%, signal=43%","6741/11260/348995/908/57510/51602/1736/10575/4234/87178/8480/8607/9818/545/55110/29107/7203/57122/5901/65083/10576/9793/23165/636/23511/4076/10204/129401/22916/23279/9631/79023/1660/9688/10574/10694/399664/22948/4928/160419/1069/55651/144983/7514/55308/3178/10212/7979/6780/56943/55795/3837/7884/6950/10189/55746/54680/80145/6428/3181/3192/11097/8570/79902/53371/3267/2091/9804/24148/170506/6426/9972/5903/84321/6432/25909/57187/11052/4686/8087/10657/23636/7175/10856/3297/65110/54888/92345/7919/64901/100101267/5073/55677/9883/81929/79228/65109/65125/9887/4600/23225/55706/29074"
"GO:0000075","cell cycle checkpoint signaling",187,0.691803355077208,2.29730769988749,1e-10,1.01872925489091e-08,7.98850875856912e-09,3421,"tags=47%, list=14%, signal=40%","595/675/9319/1017/1869/990/545/5591/51514/5810/25896/54908/8914/51776/1111/221150/983/55159/51360/63967/672/4085/57405/8870/83540/4683/701/9675/4436/1763/1063/580/54584/988/147841/55055/8451/90381/641/699/54962/9656/891/8318/79621/9183/332/8525/5347/60561/7272/2177/9735/84126/11200/3014/27339/11073/57082/3619/5781/4361/81620/51499/83990/79968/9894/10459/10403/8883/29980/51143/4998/8379/7158/7756/7175/79035/991/9212/4067/220134/5888/55143/83903/11130/54888"
