"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa03013","Nucleocytoplasmic transport",108,0.763919498932926,2.39982806027569,1e-10,8.8e-09,5.13157894736842e-09,3717,"tags=57%, list=15%, signal=49%","11260/1434/348995/57510/3838/10527/8480/9818/55110/51068/29107/57122/5901/51194/79711/23165/23511/3839/3843/64328/5905/129401/22916/23279/9631/79023/9688/7329/4928/30000/7514/55308/10921/55705/3837/10189/55746/80145/11097/10284/79902/53371/9972/5903/84321/23534/25909/57187/4686/3842/23636/7175/3840/3836/65110/7919/64901/100101267/9883/81929/79228/65109"
"hsa03008","Ribosome biogenesis in eukaryotes",103,0.74596713911175,2.34476690604522,1e-10,8.8e-09,5.13157894736842e-09,3688,"tags=46%, list=15%, signal=39%","51602/84128/10799/1736/23160/84916/26354/6949/23560/55226/10885/10813/51068/29107/5901/65083/55131/10940/25996/83732/10171/84135/29889/51096/28987/10199/1459/22803/10528/55127/55651/124901221/7514/9790/55341/55813/134430/54433/2091/54552/109910381/3692/10248/92856/10607/1460/6023"
"hsa04110","Cell cycle",158,0.676780129591678,2.21658563922779,1e-10,8.8e-09,5.13157894736842e-09,4206,"tags=53%, list=17%, signal=44%","4175/595/27085/9319/1017/1871/1019/1869/5933/9088/990/545/23594/5591/8317/7042/51434/1111/983/1875/4172/4085/113130/151648/994/26271/64682/4609/3066/701/9134/10926/90381/699/993/890/7532/891/25847/898/8318/7027/5001/4171/10393/8881/6502/4176/5925/4173/1022/23047/5347/7465/7272/80174/11200/1663/5111/57082/81620/9232/10459/23595/10403/4998/9700/8243/8379/55869/157570/991/9212/995/996/9184/8454/9133/1029/9126/1874/546/4999/7534"
"hsa03040","Spliceosome",191,0.650581403512907,2.16985156262306,1e-10,8.8e-09,5.13157894736842e-09,5019,"tags=43%, list=20%, signal=35%","51645/9128/55110/23450/57819/6635/22916/6636/6631/6633/6637/55660/51690/23658/988/9343/6632/3183/642659/144983/2521/3178/220988/51691/6628/10465/10915/56259/10189/80145/6428/3312/3192/27316/27339/51634/24148/6629/8896/6627/3190/6426/84321/6432/10772/57187/6100/51639/10713/4686/8175/23350/9410/4670/25804/6626/9129/10523/23020/84844/7919/10285/79228/10946/51340/1659/1665/7307/22827/51503/25766/9775/51729/6434/22794/29896/57461/4116/124904706/55119/6427/124904145"
"hsa04082","Neuroactive ligand signaling",196,-0.585682842710702,-1.94479493077136,3.34812689097346e-10,2.35708133124532e-08,1.374494197347e-08,4088,"tags=37%, list=16%, signal=31%","1128/53829/2891/3362/113/3359/1139/6572/5026/1133/60482/5330/64805/2570/2566/148/151/4987/3360/2776/2903/2901/5030/2775/135/2774/5029/1103/2892/1141/170572/6530/9127/1132/2900/150/2902/6536/9177/140/6866/55970/54331/112/116443/5567/154/2893/2897/43/140679/153/2565/2562/5579/22953/246213/6505/285242/51764/5368/2899/9934/3363/5028/5025/5023/111/57030/2767/115/2788"
"hsa03010","Ribosome",174,0.611257576171497,2.02528703657631,5.78113366620021e-10,3.39159841750412e-08,1.97775625422639e-08,5496,"tags=49%, list=22%, signal=39%","63875/54534/6173/6170/11222/6227/51649/51373/200916/6201/64983/11224/7818/6144/6136/6129/6187/55173/51263/6165/25873/6155/6157/57129/6130/64979/6156/6223/9801/65005/122704/100529239/6204/6160/6209/6167/109910381/6222/100529097/6224/6132/6233/51073/51258/6169/7311/6183/9045/6206/6210/28998/6161/51121/6191/6137/6168/84311/6181/28977/51187/6152/29088/6188/6158/6207/29074/10240/6159/9349/60488/64960/6142/6141/6150/6143/6230/6147/6133/65008/64951/23107/6194/6229/64928/4736/28957"
"hsa04976","Bile secretion",88,-0.699384144355747,-2.13674097490693,9.78446474522648e-10,4.92018798617103e-08,2.86912875987844e-08,2550,"tags=36%, list=10%, signal=33%","8714/6550/6555/483/200931/79799/6344/54578/54658/54577/112/5567/54600/54657/54576/54575/482/1576/2052/5243/8647/6256/6548/477/9971/8671/760/343/111/123264/115/9429"
"hsa04714","Thermogenesis",221,-0.554053349367764,-1.864831371867,4.43612678211849e-09,1.95189578413214e-07,1.13821674014882e-07,3796,"tags=33%, list=15%, signal=29%","113/1375/516/1347/1352/513/521/57104/2885/1339/155/4713/10476/515/27330/5468/4716/4724/125965/3845/4695/522/4717/539/4729/1351/1327/5563/1350/6195/4719/4694/1329/4698/7385/518/4714/4707/1337/4700/9377/4720/29796/63976/4723/374291/4705/7386/51422/656/6390/112/506/5567/7384/2641/51548/152831/6655/1268/84699/6392/10891/1374/11343/1376/6389/5346/498/8110/788/5593/111/115"
"hsa04022","cGMP-PKG signaling pathway",165,-0.584890825866522,-1.90778541110021,1.59961429469087e-08,6.25626924145761e-07,3.64824312824233e-07,4213,"tags=36%, list=17%, signal=30%","2770/5535/291/83447/480/185/113/3643/778/292/155/4638/5581/23533/478/5330/808/805/5894/148/3778/151/10242/2776/1910/4209/5605/3827/4207/91860/572/1259/483/490/4208/150/5500/489/5294/140/5138/112/154/624/482/153/5139/801/8654/84699/5595/6547/477/10672/1258/5593/111/2767/115"
"hsa00982","Drug metabolism - cytochrome P450",67,-0.724363436793156,-2.11743345857815,6.06695239008104e-08,2.13556724130853e-06,1.24532180638506e-06,1873,"tags=36%, list=8%, signal=33%","130/2944/79799/2329/54578/4129/2948/54658/54577/54600/54657/54576/2330/54575/126/1576/124/4259/1565/4128/125/27306/2946/2949"
"hsa04261","Adrenergic signaling in cardiomyocytes",154,-0.570441767053757,-1.83612412214295,1.33938260820948e-07,4.28602434627035e-06,2.49932639809425e-06,4782,"tags=37%, list=19%, signal=30%","5501/5594/55844/5502/491/783/2770/480/185/113/3776/778/5529/23533/478/5330/808/805/4634/148/93589/5525/2776/6331/91860/5516/483/816/10369/490/5521/9254/9252/5500/815/59285/489/5294/112/5567/154/482/153/6330/801/6332/817/84699/5595/5523/6548/6547/477/596/111/782/115"
"hsa03030","DNA replication",36,0.807942198245609,2.10149289156425,1.94432159672999e-07,5.70334335040796e-06,3.32581325756445e-06,2495,"tags=67%, list=10%, signal=60%","4175/5983/6742/5558/5984/10535/4172/5422/5425/54107/2237/1763/5427/79621/4171/6119/4176/5557/23649/4173/5111/5982/3978/246243"
"hsa04020","Calcium signaling pathway",253,-0.50340317878127,-1.72336005608705,2.42629963197828e-07,6.56967284966427e-06,3.83099941891308e-06,4233,"tags=35%, list=17%, signal=29%","5027/5535/291/89869/83447/1128/57105/5979/5136/3362/2251/185/113/2261/2064/1139/5026/1133/778/292/155/4638/4915/7942/2668/5330/808/57118/805/952/3270/148/1956/3360/845/2776/2254/1910/2903/774/7039/255231/91860/135/553/2774/5156/5137/816/10800/490/9127/6263/57192/815/2902/489/53373/623/2277/116443/5567/154/624/773/100130933/153/801/2263/5579/22953/3706/6261/80310/817/5336/3363/814/5025/6547/6786/4916/2185/113026/5333/5023/51196/2767/115"
"hsa05204","Chemical carcinogenesis - DNA adducts",67,-0.71012566295141,-2.07581410401541,2.7491597971043e-07,6.59132822390173e-06,3.84362740329198e-06,2179,"tags=34%, list=9%, signal=31%","6818/445329/10/2944/1646/79799/54578/2948/54658/54577/54600/54657/54576/54575/1576/2052/4259/9/27306/2946/6799/6817/2949"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",212,-0.527986979133066,-1.77355657659991,2.80880464086722e-07,6.59132822390173e-06,3.84362740329198e-06,4165,"tags=38%, list=17%, signal=32%","291/1349/1543/83447/65010/8644/2938/516/1347/4792/513/369/847/292/2885/1339/9020/4713/10476/515/4716/4724/125965/2353/3845/4695/522/5894/653361/4717/539/1956/5580/4729/1351/1327/5605/1350/4719/4694/1329/4698/7385/518/572/6416/4714/4707/1337/1645/5728/4700/2944/9377/4720/29796/5602/1646/4723/5293/374291/5337/4705/7386/2948/6390/506/7384/2052/4259/6655/3162/6392/5595/6389/498/2053/1836/2946/2949"
"hsa04723","Retrograde endocannabinoid signaling",141,-0.582544299298529,-1.87329099611747,3.77208526654742e-07,8.29858758640432e-06,4.83918833537334e-06,3164,"tags=31%, list=13%, signal=27%","5330/4716/4724/2570/2566/4695/4717/2776/4729/774/222236/4719/2775/4694/4698/4714/2892/4707/4700/4720/5602/4723/57406/374291/4705/55970/54331/112/5567/2893/773/140679/2565/2562/5579/246213/1268/51764/5595/11343/111/57030/115/2788"
"hsa04024","cAMP signaling pathway",222,-0.516830048194964,-1.73987779034896,6.33884533200677e-07,1.31251385698023e-05,7.65371417796483e-06,4262,"tags=35%, list=17%, signal=29%","8310/2770/480/7253/1128/2891/3362/113/4886/3776/2492/4792/778/5465/478/808/805/2353/5894/5906/3360/5144/139760/2903/5880/117/64399/5605/4852/1261/91860/135/572/1259/7432/2696/7409/483/816/2892/5143/490/5602/6751/5293/6752/5337/5500/815/2902/489/112/116443/5567/154/2893/482/153/5732/2641/5139/801/6750/817/1908/84699/1907/5595/7074/814/6548/51/477/1258/5348/51196/111/115"
"hsa04725","Cholinergic synapse",115,-0.600430139229012,-1.88524312988173,9.63378911669121e-07,1.88394098281962e-05,1.0985899869911e-05,4273,"tags=38%, list=17%, signal=32%","2793/2534/2770/1128/113/1139/6572/1133/778/60482/23533/5330/2353/3845/2776/3759/774/56479/2775/1103/816/1141/3768/1132/5293/815/5294/55970/54331/112/5567/773/43/5579/817/84699/51764/5595/814/596/111/2767/115/2788"
