"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-72312","rRNA processing","131/4505","210/10831",0.623809523809524,1.49977379631098,6.17159554652621,7.30509258126517e-10,6.31139011024579e-07,5.18905944909651e-07,"56902/705/25879/27340/51602/55759/84128/10799/1736/9188/23160/84916/26354/9277/8780/4839/55226/10885/10813/51001/9136/11340/54881/6173/65083/55131/6170/23246/8568/83732/4691/56915/10171/84135/23404/51388/84946/6227/51096/22894/28987/27292/10199/51202/200916/51010/79050/11056/22803/51504/22984/6201/8602/11224/10528/10969/27042/57647/55127/55651/1454/84881/22868/51106/6144/6136/55720/29960/6129/6187/51118/114049/6165/9790/54512/25873/55813/81887/134430/6155/23481/6157/6130/54433/2091/6156/6223/81875/57418/88745/25926/6204/6160/6209/54931/6167/6222/6224/6132/6233/3028/1453/6169/7311/90459/9045/6206/118460/10200/6210/92856/140801/130916/6161/51121/10607/6191/6137/6168/6181/6152/5393/6188/6192/27341/6158/6207/6166/6159/9349/387338",131
"R-HSA-8868773","rRNA processing in the nucleus and cytosol","122/4505","193/10831",0.632124352331606,1.51976445285319,6.14826061246606,8.51955611609161e-10,6.31139011024579e-07,5.18905944909651e-07,"56902/705/25879/27340/51602/55759/84128/10799/1736/9188/23160/84916/26354/9277/8780/4839/55226/10885/10813/9136/11340/54881/6173/65083/55131/6170/23246/8568/83732/4691/56915/10171/84135/23404/51388/84946/6227/51096/22894/28987/27292/10199/51202/200916/51010/79050/11056/22803/51504/22984/6201/8602/11224/10528/10969/27042/57647/55127/55651/1454/6144/6136/55720/6129/6187/51118/114049/6165/9790/54512/25873/55813/81887/134430/6155/23481/6157/6130/54433/2091/6156/6223/81875/57418/88745/25926/6204/6160/6209/6167/6222/6224/6132/6233/1453/6169/7311/90459/9045/6206/118460/10200/6210/92856/140801/6161/51121/10607/6191/6137/6168/6181/6152/5393/6188/6192/27341/6158/6207/6166/6159/9349",122
"R-HSA-69242","S Phase","99/4505","150/10831",0.66,1.58678357380688,6.10681343041081,1.12036510832766e-09,6.31139011024579e-07,5.18905944909651e-07,"4175/595/1017/1019/5983/1869/990/23594/5683/51434/10213/5558/9837/1875/5984/5688/11065/27338/4172/113130/5422/994/64682/5701/5425/54107/4609/2237/5682/11047/1026/1163/1763/9134/57804/5427/84296/64785/993/890/5719/898/8318/7027/5001/4171/10393/8881/6502/7979/5684/6119/4176/5718/5925/286826/5557/23649/4173/1022/23047/7465/5693/5713/5111/84515/5982/51659/3978/81620/5695/5689/23595/4998/5690/8243/7314/7316/5707/6233/157570/5691/5692/7311/4331/4149/10274/7321/5985/996/8454/5686/9126/1874/4999/5424/2932/5934/132660",99
"R-HSA-6791226","Major pathway of rRNA processing in the nucleolus and cytosol","115/4505","183/10831",0.628415300546448,1.51084708550912,5.88138318816193,4.29038297675104e-09,1.81268680767731e-06,1.4903435603451e-06,"56902/705/25879/27340/51602/55759/84128/10799/9188/23160/84916/26354/9277/8780/10885/10813/9136/11340/54881/6173/65083/55131/6170/23246/8568/83732/4691/56915/10171/84135/23404/51388/84946/6227/51096/22894/28987/10199/51202/200916/51010/79050/11056/22803/22984/6201/8602/11224/10528/10969/27042/57647/55127/1454/6144/6136/55720/6129/6187/51118/114049/6165/9790/54512/25873/55813/81887/134430/6155/23481/6157/6130/2091/6156/6223/81875/57418/88745/25926/6204/6160/6209/6167/6222/6224/6132/6233/1453/6169/7311/90459/9045/6206/118460/10200/6210/92856/140801/6161/51121/10607/6191/6137/6168/6181/6152/5393/6188/6192/27341/6158/6207/6166/6159/9349",115
"R-HSA-2555396","Mitotic Metaphase and Anaphase","136/4505","225/10831",0.604444444444444,1.45321593291405,5.7971915303039,6.81346237246338e-09,1.94381135259537e-06,1.59815072278162e-06,"348995/9818/10382/79980/79861/5683/57122/54908/51434/5901/10213/9793/23165/23511/983/5688/2491/11065/5905/27338/129401/54821/4085/57405/23279/9631/113130/151648/83540/79023/26271/9688/64682/55839/79643/5701/22919/701/5682/64946/11047/151246/1063/10381/11004/7329/147841/64105/55055/1062/5048/4928/699/91687/7514/5719/1058/81930/891/10393/8881/9183/7979/55166/5684/332/3837/401541/27243/5718/79682/79172/23047/5347/55746/2010/1104/5693/9735/8815/5713/84790/5516/79902/55920/57082/53371/3930/3619/9232/10726/5695/5689/10403/5903/5525/51143/5690/7443/9700/8243/7314/7316/25909/348235/5707/8379/7444/200014/55869/10376/6233/3842/23636/5691/991/9212/5692/7311/220134/55143/11130/10274/7321/5529/9883/81929/996/9184/9133/5686/9126/91782/55706/100526767/25978",136
"R-HSA-191859","snRNP Assembly","42/4505","52/10831",0.807692307692308,1.94186800990353,5.74512542670795,8.05128962613467e-09,1.94381135259537e-06,1.59815072278162e-06,"79084/348995/8480/9818/57122/23165/23511/96764/6635/129401/22916/6636/23279/9631/25929/79023/9688/6633/6637/6632/4928/6606/1207/6628/55746/11097/79902/53371/11218/9972/5903/79833/4686/10419/23636/7175/9883/81929/23225/55706/8487/54960",42
"R-HSA-194441","Metabolism of non-coding RNA","42/4505","52/10831",0.807692307692308,1.94186800990353,5.74512542670795,8.05128962613467e-09,1.94381135259537e-06,1.59815072278162e-06,"79084/348995/8480/9818/57122/23165/23511/96764/6635/129401/22916/6636/23279/9631/25929/79023/9688/6633/6637/6632/4928/6606/1207/6628/55746/11097/79902/53371/11218/9972/5903/79833/4686/10419/23636/7175/9883/81929/23225/55706/8487/54960",42
"R-HSA-68882","Mitotic Anaphase","135/4505","224/10831",0.602678571428571,1.44897039004281,5.72983949731039,1.00562761438122e-08,2.12438833538032e-06,1.74661638287264e-06,"348995/9818/10382/79980/79861/5683/57122/54908/51434/5901/10213/9793/23165/23511/983/5688/2491/11065/5905/27338/129401/54821/4085/57405/23279/9631/113130/151648/83540/79023/9688/64682/55839/79643/5701/22919/701/5682/64946/11047/151246/1063/10381/11004/7329/147841/64105/55055/1062/5048/4928/699/91687/7514/5719/1058/81930/891/10393/8881/9183/7979/55166/5684/332/3837/401541/27243/5718/79682/79172/23047/5347/55746/2010/1104/5693/9735/8815/5713/84790/5516/79902/55920/57082/53371/3930/3619/9232/10726/5695/5689/10403/5903/5525/51143/5690/7443/9700/8243/7314/7316/25909/348235/5707/8379/7444/200014/55869/10376/6233/3842/23636/5691/991/9212/5692/7311/220134/55143/11130/10274/7321/5529/9883/81929/996/9184/9133/5686/9126/91782/55706/100526767/25978",135
"R-HSA-9615933","Postmitotic nuclear pore complex (NPC) reformation","25/4505","27/10831",0.925925925925926,2.22612734821392,5.38297305332955,3.65221453072413e-08,5.97457314155505e-06,4.912137369575e-06,"348995/9818/57122/5901/23165/23511/5905/129401/23279/9631/79023/9688/7329/4928/3837/55746/1104/79902/53371/25909/3842/23636/9883/81929/55706",25
"R-HSA-69239","Synthesis of DNA","73/4505","108/10831",0.675925925925926,1.62507296419616,5.50911035574952,3.8120225621451e-08,5.97457314155505e-06,4.912137369575e-06,"4175/1017/5983/990/23594/5683/51434/10213/5558/9837/5984/5688/11065/27338/4172/5422/64682/5701/5425/54107/2237/5682/11047/1763/9134/57804/5427/84296/64785/890/5719/898/8318/5001/4171/10393/8881/6502/7979/5684/6119/4176/5718/5557/23649/4173/5693/5713/5111/84515/5982/51659/3978/81620/5695/5689/23595/4998/5690/7314/7316/5707/6233/5691/5692/7311/7321/5985/996/8454/5686/4999/5424",73
